Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","12457","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2007","2007","t","502","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","411","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","12165","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2008","2008","t","500","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","426","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","11854","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2009","2009","t","505","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","430","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","12116","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2010","2010","t","521","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","434","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","12880","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2011","2011","t","559","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","385","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","14675","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2012","2012","t","565","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","388","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","16778","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2013","2013","t","651","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","429","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","11585","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2014","2014","t","497","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","436","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","25229","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2015","2015","t","1100","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","438","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2016","2016","100 g/ha","24174","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2016","2016","t","1058.8","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","456","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","23858","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2017","2017","t","1087.7","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","328","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","31583","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2018","2018","t","1037.2","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","574","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","15948","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2019","2019","t","915.6","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","944","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","15568","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2020","2020","t","1469.3","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","1425","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","21861","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2021","2021","t","3116.1","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","1687","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01371","Almonds, in shell","2022","2022","100 g/ha","31523","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01371","Almonds, in shell","2022","2022","t","5318.3","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1992","1992","ha","30690","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1992","1992","100 g/ha","38475","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1992","1992","t","118079","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1993","1993","ha","30016","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1993","1993","100 g/ha","33991","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1993","1993","t","102027","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1994","1994","ha","29817","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1994","1994","100 g/ha","31956","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1994","1994","t","95282","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1995","1995","ha","29256","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1995","1995","100 g/ha","32659","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1995","1995","t","95547","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1996","1996","ha","23480","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1996","1996","100 g/ha","40292","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1996","1996","t","94605","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1997","1997","ha","22130","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1997","1997","100 g/ha","40846","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1997","1997","t","90393","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1998","1998","ha","20048","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1998","1998","100 g/ha","57251","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1998","1998","t","114776","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","1999","1999","ha","21778","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","1999","1999","100 g/ha","52485","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","1999","1999","t","114301","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2000","2000","ha","21673","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2000","2000","100 g/ha","59181","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2000","2000","t","128264","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2001","2001","ha","21804","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2001","2001","100 g/ha","62402","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2001","2001","t","136061","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2002","2002","ha","21497","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2002","2002","100 g/ha","59822","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2002","2002","t","128599","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2003","2003","ha","20303","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2003","2003","100 g/ha","76022","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2003","2003","t","154347","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2004","2004","ha","20456","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2004","2004","100 g/ha","67109","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2004","2004","t","137279","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2005","2005","ha","20533","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2005","2005","100 g/ha","79412","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2005","2005","t","163057","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2006","2006","ha","19599","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2006","2006","100 g/ha","91000","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2006","2006","t","178350","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2007","2007","ha","22498","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2007","2007","100 g/ha","83120","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2007","2007","t","187003","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2008","2008","ha","22846","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2008","2008","100 g/ha","89740","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2008","2008","t","205021","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2009","2009","ha","23258","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2009","2009","100 g/ha","87814","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2009","2009","t","204237","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2010","2010","ha","23934","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2010","2010","100 g/ha","88437","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2010","2010","t","211665","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2011","2011","ha","25121","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2011","2011","100 g/ha","88797","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2011","2011","t","223067","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2012","2012","ha","25836","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2012","2012","100 g/ha","90870","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2012","2012","t","234771","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2013","2013","ha","26301","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2013","2013","100 g/ha","93793","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2013","2013","t","246685","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2014","2014","ha","27173","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2014","2014","100 g/ha","92859","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2014","2014","t","252327","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2015","2015","ha","28090","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2015","2015","100 g/ha","91277","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2015","2015","t","256398","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2016","2016","ha","28277","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2016","2016","100 g/ha","89929","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2016","2016","t","254295.8","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2017","2017","ha","28401","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2017","2017","100 g/ha","96860","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2017","2017","t","275092.9","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2018","2018","ha","28647","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2018","2018","100 g/ha","96750","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2018","2018","t","277157.7","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2019","2019","ha","29004","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2019","2019","100 g/ha","100928","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2019","2019","t","292735.6","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2020","2020","ha","29334","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2020","2020","100 g/ha","102752","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2020","2020","t","301410.5","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2021","2021","ha","29875","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2021","2021","100 g/ha","103226","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2021","2021","t","308386.4","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01341","Apples","2022","2022","ha","29107","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01341","Apples","2022","2022","100 g/ha","109321","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01341","Apples","2022","2022","t","318197.2","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1992","1992","ha","2082","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1992","1992","100 g/ha","66527","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1992","1992","t","13851","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1993","1993","ha","2037","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1993","1993","100 g/ha","58753","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1993","1993","t","11968","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1994","1994","ha","2021","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1994","1994","100 g/ha","55304","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1994","1994","t","11177","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1995","1995","ha","1985","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1995","1995","100 g/ha","56463","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1995","1995","t","11208","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1996","1996","ha","1593","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1996","1996","100 g/ha","69661","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1996","1996","t","11097","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1997","1997","ha","1501","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1997","1997","100 g/ha","70640","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1997","1997","t","10603","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1998","1998","ha","1360","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1998","1998","100 g/ha","98993","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1998","1998","t","13463","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","1999","1999","ha","1208","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","1999","1999","100 g/ha","95248","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","1999","1999","t","11506","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","2000","2000","ha","1260","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","2000","2000","100 g/ha","103286","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","2000","2000","t","13014","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","2001","2001","ha","1258","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","2001","2001","100 g/ha","105707","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","2001","2001","t","13298","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","2002","2002","ha","1354","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","2002","2002","100 g/ha","95968","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01343","Apricots","2002","2002","t","12994","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01343","Apricots","2003","2003","ha","1457","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01343","Apricots","2003","2003","100 g/ha","88620","A","Official figure",""
